category,item,serving_size,calories,calories_from_fat,total_fat,total_fat_pct_dv,saturated_fat,saturated_fat_pct_dv,trans_fat,cholesterol,cholesterol_pct_dv,sodium,sodium_pct_dv,carbohydrates,carbohydrates_pct_dv,dietary_fiber,dietary_fiber_pct_dv,sugars,protein,vitamin_a_pct_dv,vitamin_c_pct_dv,calcium_pct_dv,iron_pct_dv,serving_weight_g,calorie_density,high_sugar_spike,protein_100g,category_encoded,item_encoded
Smoothies & Shakes,Chocolate Shake (Small),12 fl oz cup,0.2922252010723861,150,0.13559322033898305,25,10.0,51,1.0,60,20,0.06666666666666667,10,0.635036496350365,30,1,5,77,0.13793103448275862,20,0,40,8,0.4351701782820097,1.8823529411764706,Yes,4.033613445378151,5,40
Smoothies & Shakes,Chocolate Shake (Medium),16 fl oz cup,0.3672922252010724,180,0.1694915254237288,30,12.0,62,1.0,75,24,0.08333333333333333,13,0.8029197080291971,38,2,6,97,0.1724137931034483,25,0,50,10,0.4351701782820097,2.3529411764705883,Yes,5.042016806722689,5,39
Smoothies & Shakes,Chocolate Shake (Large),22 fl oz cup,0.4477211796246649,210,0.19491525423728814,36,15.0,74,1.0,85,29,0.10555555555555556,16,1.0,47,2,8,120,0.21839080459770116,30,0,60,15,0.4351701782820097,2.857142857142857,Yes,6.386554621848739,5,38
Smoothies & Shakes,Shamrock Shake (Medium),16 fl oz cup,0.34584450402144773,170,0.16101694915254236,29,12.0,61,1.0,75,24,0.058333333333333334,9,0.7664233576642336,36,0,0,93,0.16091954022988506,25,0,50,0,0.4351701782820097,2.2184873949579833,Yes,4.705882352941177,5,119
Smoothies & Shakes,Shamrock Shake (Large),22 fl oz cup,0.43163538873994645,210,0.19491525423728814,35,15.0,73,1.0,90,29,0.07222222222222222,11,0.9562043795620438,45,0,0,115,0.20689655172413793,30,0,60,0,0.4351701782820097,2.7563025210084033,Yes,6.050420168067227,5,118
Smoothies & Shakes,McFlurry with M&M’s Candies (Small),10.9 oz (310 g),0.34048257372654156,210,0.19491525423728814,35,14.0,72,0.5,50,17,0.05,7,0.6715328467153285,32,1,6,89,0.14942528735632182,15,0,45,8,0.45542949756888174,2.096774193548387,Yes,4.193548387096775,5,69
Smoothies & Shakes,McFlurry with M&M’s Candies (Medium),16.2 oz (460 g),0.49061662198391426,290,0.2796610169491525,50,20.0,102,1.0,75,25,0.07222222222222222,11,0.9854014598540146,46,2,7,128,0.22988505747126436,25,0,70,10,0.6985413290113452,2.0217391304347827,Yes,4.3478260869565215,5,68
Smoothies & Shakes,McFlurry with M&M’s Candies (Snack),7.3 oz (207 g),0.2225201072386059,140,0.1271186440677966,24,10.0,48,0.0,35,11,0.03333333333333333,5,0.437956204379562,21,1,4,59,0.10344827586206896,10,0,30,4,0.2884927066450567,2.077294685990338,Yes,4.3478260869565215,5,70
Smoothies & Shakes,McFlurry with Oreo Cookies (Small),10.1 oz (285 g),0.26541554959785524,150,0.1440677966101695,26,9.0,44,0.5,45,14,0.07777777777777778,12,0.5547445255474452,27,1,4,64,0.13793103448275862,15,0,40,8,0.41491085899513774,1.7894736842105263,Yes,4.2105263157894735,5,72
Smoothies & Shakes,McFlurry with Oreo Cookies (Medium),13.4 oz (381 g),0.36193029490616624,200,0.19491525423728814,35,12.0,58,1.0,55,19,0.10555555555555556,16,0.7445255474452555,35,1,5,85,0.1724137931034483,20,0,50,10,0.5705024311183144,1.811023622047244,Yes,3.937007874015748,5,71
Smoothies & Shakes,McFlurry with Oreo Cookies (Snack),6.7 oz (190 g),0.1742627345844504,100,0.09322033898305085,17,6.0,29,0.0,30,9,0.05277777777777778,8,0.3576642335766423,18,1,2,43,0.09195402298850575,10,0,25,6,0.26094003241491087,1.7894736842105263,Yes,4.2105263157894735,5,73
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Medium),14.2 oz (403 g),0.4262734584450403,290,0.2711864406779661,50,15.0,76,1.0,60,20,0.1111111111111111,17,0.8029197080291971,38,2,9,103,0.24137931034482757,20,0,60,6,0.6061588330632091,2.009925558312655,Yes,5.2109181141439205,5,74
Smoothies & Shakes,McFlurry with Reese's Peanut Butter Cups (Snack),7.1 oz (202 g),0.2117962466487936,150,0.13559322033898305,25,8.0,38,0.0,30,10,0.05555555555555555,8,0.3868613138686131,19,1,5,51,0.11494252873563218,10,0,30,4,0.28038897893030795,2.0297029702970297,Yes,4.9504950495049505,5,75
